narrative,body_part,work_activity,accident_cause,cluster,distance_to_centroid,rank_in_cluster
"EE had completed housekeeping under the 600 Crusher Feed Tunnel Belt and was exiting from the back side of the belt. As EE planted left foot, it slipped on the wet surface and EE fell to the ground, injuring lower back. The injury resulted in restricted duty. ",lower back,housekeeping under the 600 Crusher Feed Tunnel Belt,slipped on the wet surface,6,0.180253947,6
"EE was proceeding on the ground floor of the column cell when EE had tripped and fell, causing right wrist to be fractured.",right wrist to be fractured,proceeding on the ground floor of the column cell,tripped and fell,6,0.181878708,7
EE straddled the finish mill 1 pinion shaft bearing drive line guard to access the oil level plug located on the opposite end of the platform. They had their left leg on the platform and as they swung their right leg behind them they felt a pop in their right knee as they planted their foot on the platform. There is ladder access on the opposite end to access the oil plugs. ,pop in their right knee,access the oil level plug,they felt,6,0.185995361,8
"EE was throwing trash in dumpster when EE slipped on a wet area and fell, fracturing the right fibula.",fracturing the right fibula,throwing trash in dumpster,EE slipped on a wet area and fell,6,0.211292296,9
"EE was pulling a 1 1/2 inch fire hose to clean off piece of equipment, as EE was walking backwards, tripped in rut and fell to ground. ",No information available in narrative,pulling a 1 1/2 inch fire hose,tripped in rut and fell,6,0.218325992,10
Employee entrapped on Old Finish Mill passenger elevator between floors 1 and 2.,No information available in narrative,elevator between floors 1 and 2,entrapped on Old Finish Mill passenger elevator,8,0.523409057,1
Mill Manlift gearbox broke. Miner was entrapped in manlift for 38 minutes. Miner egressed out emergency exit of manlift roof. ,No information available in narrative,Mill Manlift,Miner was entrapped,8,0.543997288,2
"Contractor was painting an electrical box on 3rd floor of F Area. EE needed a paint brush, so EE entered the elevator going down. Contractor became lodged between floors, 911 was called and tech for elevator was called also. Contractor was retrieved from elevator without injury.",without injury,painting an electrical box on 3rd floor of F Area,became lodged between floors,8,0.555797977,3
Miner coming down from preheater tower when elevator stuck between level 1 and ground floor.  Contact control room and elevator company contacted.  Entrapped for 1 hour 20 minutes.,No information available in narrative,coming down from preheater tower,elevator stuck between level 1 and ground floor,8,0.556100471,4
"Customer truck driver fell from the lid closing station after failing to correctly align the truck at the closing station. We assert that the incident does not meet the definition of an accident and the injured party was not a miner, so 30  CFR 5a does not require submission of the report.  ",not meet the definition of an accident,align the truck at the closing station,fell from the lid closing station,8,0.560328179,5
Two employees reported that they were stuck in the pre-heat tower elevator between the 4th and 5th floor. RICO elevator tech released both employees on the ground level at 2151pm. No injuries or illness were reported. ,No injuries or illness,No information available in narrative,were stuck in the pre-heat tower elevator,8,0.5604314,6
Employee was descending from top of cement silos elevator when elevator stopped approximately 70 feet in the air. Local fire department was contacted and assisted worker out of elevator and down ladder. Worker was not injured.,Worker was not injured,descending from top of cement silos elevator,elevator stopped,8,0.561267332,7
The coal elevator stopped just after lift off from the first floor with two employees in the elevator car. The on shift supervisor and maintenance personnel  tried to reset the elevator but were not successful. Elevator company was called out to lower the elevator. The employees were in the elevator for longer than 30 minutes and the event was called in. No injuries occurred. ,No injuries occurred,two employees in the elevator car,coal elevator stopped,8,0.56347154,8
"During kiln outage 3 contractors in PH tower passenger elevator when it stopped moving between ground and 1st floor. When evident it would be >30 min, MSHA called between 1115 and 1120 pm per supervisor making call. Constant communication maintained until elevator repair person arrived on site and extracted employees at 1245 am",No information available in narrative,No information available in narrative,elevator when it stopped moving,8,0.570265273,9
"Treated at hospital due to heat exposure. EE sustained heat exposure after entrapment 503.7J1, process passenger elevator, for 3 hours. Removed by fire and rescue.",No information available in narrative,No information available in narrative,heat exposure after entrapment,8,0.570957001,10
EE was changing bags in dust collector when EE strained back.,strained back,changing bags in dust collector,No information available in narrative,0,0.198469238,11
"An employee was sweeping the floor in the LO1432 Loader at the end of the shift. When EE straightened their back, EE noticed pain in the lower back.",pain in the lower back,sweeping the floor in the LO1432 Loader,straightened their back,0,0.198823793,12
EE was doing maintenance at the finish plant screens. EE bent down to pick up a piece of angle iron and felt a pinch in back and shooting pain down the leg. ,pinch in back and shooting pain down the leg,maintenance at the finish plant screens,bent down to pick up a piece of angle iron,0,0.199234516,13
Employee alleges EE was lifting a screen motor to get the pin back in the hole and EE started feeling pain in EE's lower back.,pain in EE's lower back,lifting a screen motor to get the pin back in the hole,No information available in narrative,0,0.200040637,14
"was upstairs doing screen change, went to pick up screen something hurt in EE's right shoulder",right shoulder,screen change,No information available in narrative,0,0.209939747,15
Employee was lifting a steel plate into place for welding. EE strained EE's Left Shoulder.,strained EE's Left Shoulder,lifting a steel plate into place for welding,No information available in narrative,0,0.21222628,16
Employee felt pain in EE's back when EE was transferring 50# bags into a bulk bag.,pain in EE's back,transferring 50# bags into a bulk bag,No information available in narrative,0,0.215053573,17
The employee strained back while moving a rotary air lock into position for installation.,strained back,moving a rotary air lock into position for installation,No information available in narrative,0,0.216777326,18
Employee was lifting a 2.5 gallon jug of oil when EE felt pain in their back.,pain in their back,lifting a 2.5 gallon jug of oil,No information available in narrative,0,0.220402764,19
After completing a pump rebuild in the gravity area.  The IP tried to lay over an old impeller by hand and felt a pop in EE's bicep.,pop in EE's bicep,pump rebuild in the gravity area,tried to lay over an old impeller by hand,0,0.225572,20
Employee was installing a chute on the back of a concrete truck and the chute came down on EE's middle finger cutting the tip of the finger.,middle finger cutting the tip of the finger,installing a chute on the back of a concrete truck,chute came down on EE's,1,0.246950774,11
"Crusher operator was taking a drain pipe down as it was plugged. When EE uncoupled the pipe coupling to remove the pipe, the pipe slid and contacted EE's left ring finger resulting in a laceration and fracture of tip of finger.",laceration and fracture of tip of finger,taking a drain pipe down,pipe slid,1,0.250753035,12
"Employee was adjusting the armrest inside the L60H front end loader, they grabbed the lever with left hand and pulled up quickly as the lever was stuck and knuckle contacted the track for the arm rest and lacerated the knuckle. Employee received 4 stitches.",lacerated the knuckle. Employee received 4 stitches,adjusting the armrest inside the L60H front end loader,pulled up quickly as the lever was stuck,1,0.250790237,13
Was feeding a steel strap into a rolling machine and the glove on left hand was caught by the roller and pulled in. The ring finger on left hand was crushed up to the first joint and removed by Doctor at the first joint.,ring finger on left hand was crushed up to the first joint,feeding a steel strap into a rolling machine,glove on left hand was caught by the roller and pulled in,1,0.275655759,14
"Employee was carrying a liner with another employee. The liner almost dropped and the employee attempted to catch the liner before it hit the second employee. The liner caught the employee's right pinky finger between the liner and feeder and the finger was pinched. The pinch lacerated the finger, which required 3 stitches to close.","pinch lacerated the finger, which required 3 stitches",carrying a liner,liner almost dropped and the employee attempted to catch the liner,1,0.27958976,15
Miner was assisting with placing a lift chain loop onto a overhead crane hook when the chain loop pinched EE's right thumb between the loop and hook causing an avulsion to the right thumb pad.,avulsion to the right thumb pad,assisting with placing a lift chain loop onto a overhead crane hook,chain loop pinched EE's right thumb between the loop and hook,1,0.282470616,16
"Employee was performing maintenance on a tunnel feeder.  As employee and another employee were leveling the front end of the feeder, the hook on the pull jack failed causing the feeder to fall a few inches and the hook to fall on employee's hand causing injury to left middle finger.  Employee received sutures at the clinic and was released to full duty.",injury to left middle finger.  Employee received sutures,maintenance on a tunnel feeder,the hook on the pull jack failed,1,0.28253476,17
"While lifting up a stone tread off of a stack of treads to see the bottom side, the tread slipped and fell onto the employees left middle finger pinching it between two treads. Employee suffered a smashed open fracture/crushing injury to the finger with nail damage.   ",fracture/crushing injury to the finger with nail damage,lifting up a stone tread off of a stack of treads to see the bottom side,tread slipped and fell onto the employees,1,0.285053928,18
"The injured employee and a partner were assigned to change out a troughing roller on the 045 belt. The injured employee was changing out a wing can on a troughing roller and putting in a new wing can. During this process, the wing can dislodged after being stuck, and smashed the tip of the employee's middle right finger.",smashed the tip of the employee's middle right finger,change out a troughing roller on the 045 belt,wing can dislodged after being stuck,1,0.31154553,19
MTMs were changing a liner with the cover plate on the floor for the sump. Injured MTM had their left hand on the case while using the the right hand to pry the liner and throat bushing into place. The case cover shifted pinching the employee's left ring finger between the sharp edge of the case and curb of the sump causing a break on the left ring finger and sutures.,break on the left ring finger and sutures,changing a liner with the cover plate on the floor for the sump,left hand on the case while using the the right hand to pry the liner and throat bushing into place. The case cover shifted,1,0.313860752,20
"Quarry employee reports was putting rollers on, bent over, slipped, and twisted their back causing pain to their lower back. Injury was considered a first aid until 2/20/2023 when employee was given a Prescription for 10mg cyclobenzaprine and 20mg prednisone.",twisted their back causing pain to their lower back,putting rollers on,"bent over, slipped",2,0.26061246,11
"Maint tech injured shoulder while lifting a bucket onto a bucket elevator. Injury was treated with first aid (ice, otc) until 2/23/2022 when physical therapy was prescribed.",injured shoulder,lifting a bucket,No information available in narrative,2,0.270302884,12
"employee has swollen hand and wrist, said it was caused from using a rubber mallet for several hours on shift.  Went to the Dr but didn't report until several days later, went back to Dr got a full release back to work.",swollen hand and wrist,No information available in narrative,using a rubber mallet for several hours,2,0.272649413,13
On 9/24/24 EE reported hand was hurting. Right palm under EE's middle finger looking faintly bruised. EE stated was not positive but thought it was from using the impact wrench working on the tails feed system. On 9/24/24 EE asked to go into the doctor for an evaluation. We did not receive a release until end of day 9/25/24 stating Ee needed to be on light duty.,Right palm under EE's middle finger looking faintly bruised,working on the tails feed system,using the impact wrench,2,0.284876,14
The employee slipped while walking down a set of stairs and landed on EE's back. EE felt good and that it was not necessary to go see a doctor. EE continued to work until 12/24/2022 and then felt bad enough that EE went to the doctor. The doctor told EE to take 10 days off and then return to light duty.,landed on EE's back,No information available in narrative,slipped while walking down a set of stairs,2,0.290911004,15
While working next to the kiln area employee obtained a heat rash on 6/21/24. Heat rash had calmed down except for some spots on the left leg. employee reported this on the 6/27/24 and got medical attention were they prescribed a steroid cream.,heat rash,working next to the kiln area,No information available in narrative,2,0.298704501,16
EE had tipped a bleeder and felt a pinch in their back. EE did not report it right away. On December 1st they informed supervision that they had gone to Urgent Care to seek medical attention. EE was seen and released. EE was sent to the clinic to be evaluated and issued restrictions. EE did not come to work on the 2nd or 3rd. ,pinch in their back,tipped a bleeder,did not report it right away,2,0.304476345,17
"Employee was retrieving a 5 gallon bucket of stone from an automatic sampler and while attempting to pick it up, felt a pain in EE's back.  Employee initially reported it but did not want immediate medical attention. Showing no improvement employee returned to Occ. Med on 9/20/22 and has been subscribed further treatment for physical therapy. ",pain in EE's back,retrieving a 5 gallon bucket of stone from an automatic sampler,attempting to pick it up,2,0.304749554,18
Miner injured their lower back while replacing return rollers on conveyor. Miner did not seek medical attention and documented purpose. Miner went to urgent care on 2/13/2025.,injured their lower back,replacing return rollers on conveyor,No information available in narrative,2,0.305244772,19
Employee was straightening a piece of pipe by hand. The pipe kicked back striking right thumb. Went to Dr. 6/12 and was released to full duty. Went back to Dr. on 6/20 and was released to work with restrictions and a brace with possible torn ligament in right thumb.,torn ligament in right thumb,straightening a piece of pipe by hand,pipe kicked back striking,2,0.311805,20
"Employee was spraying lower level of Tower, fellow employee started spraying level above. Overflow splash from top level hit employee in the eye.",hit employee in the eye,spraying lower level of Tower,Overflow splash from top level,3,0.123225,11
"Cleaning out preheater, was near an open port and material burped"".  Employee had backed away and opened visor on Helmet which allowed material in right eye.""",material in right eye,Cleaning out preheater,opened visor on Helmet,3,0.132070373,12
"Employee was unplugging core product from the core chute, when product dislodged lime went into EE's left eye.",lime went into EE's left eye,unplugging core product from the core chute,product dislodged lime went into,3,0.138498314,13
"An EE was closing one of the kiln hood doors, as EE closed the door dust fell from the hood overhead. IE was in the area where dust fell and got it in IE's eyes.",dust fell and got it in IE's eyes,closing one of the kiln hood doors,dust fell from the hood overhead,3,0.139009,14
Employee was grinding rust off the wall of a filtrate tank to prep for a patch and a foreign body entered eye. ,foreign body entered eye,grinding rust off the wall of a filtrate tank,No information available in narrative,3,0.142137912,15
Closing a clay belly door on airslide when it went positive and blew cement dust out and went into eyes.  Employee was wearing safety glasses it was just an unexpected plume of material.,eyes,Closing a clay belly door on airslide,it went positive and blew cement dust out,3,0.154181602,16
The employee was preparing to do a job in the main baghouse when the material exited the inspection door that was open above. The material got into employee's eyes ,material got into employee's eyes,preparing to do a job in the main baghouse,material exited the inspection door that was open above,3,0.158651736,17
An employee received an eye injury after getting lime in left eye. After using the vac system to remove material from the screen floor employee started cutting corrugated 4-inch vac hose into manageable sections to be removed from the job site. As employee cut a section of pipe it flipped lime in employee's left eye.  ,lime in employee's left eye,cutting corrugated 4-inch vac hose into manageable sections to be removed from the job site,cut a section of pipe it flipped lime,3,0.162434531,18
Baghouse pulsed air which blew dust into right eye when worker looked into an inspection port door to see why screw wasn't working correctly.,dust into right eye,looked into an inspection port door to see why screw wasn't working correctly,Baghouse pulsed air which blew dust,3,0.163070045,19
EE was working on the Preheat Tower and in the Clinker Reclaim Tunnel trying to unplug both a Tower vessel and a clinker reclaim pan conveyor feeder.  EE believes dust that collected on EE's clothes and person eventually got into left eye while sweating causing the eye to get irritated by a burning sensation.  Diagnosis: Corneal abrasion.,Corneal abrasion,working on the Preheat Tower and in the Clinker Reclaim Tunnel trying to unplug both a Tower vessel and a clinker reclaim pan conveyor feeder,dust that collected on EE's clothes and person,3,0.16427142,20
Driver was preparing to dump mine run. Loader operator noticed driver passed out leaning in passenger seat. Driver woke up & became coherent but vomited. Ambulance called and driver was taken.,No information available in narrative,Driver was preparing to dump mine run,No information available in narrative,4,1.158402814,11
The operator lost control.  Root cause is unknown at this time due to the on-going accident investigation. We are waiting for the monetary amount from the insurance company and the mine operator. ,No information available in narrative,No information available in narrative,No information available in narrative,4,1.16542021,12
