MINE_ID,CONTROLLER_ID,CONTROLLER_NAME,OPERATOR_ID,OPERATOR_NAME,CONTRACTOR_ID,DOCUMENT_NO,SUBUNIT_CD,SUBUNIT,ACCIDENT_DT,CAL_YR,CAL_QTR,FISCAL_YR,FISCAL_QTR,ACCIDENT_TIME,DEGREE_INJURY_CD,DEGREE_INJURY,FIPS_STATE_CD,UG_LOCATION_CD,UG_LOCATION,UG_MINING_METHOD_CD,UG_MINING_METHOD,MINING_EQUIP_CD,MINING_EQUIP,EQUIP_MFR_CD,EQUIP_MFR_NAME,EQUIP_MODEL_NO,SHIFT_BEGIN_TIME,CLASSIFICATION_CD,CLASSIFICATION,ACCIDENT_TYPE_CD,ACCIDENT_TYPE,NO_INJURIES,TOT_EXPER,MINE_EXPER,JOB_EXPER,OCCUPATION_CD,OCCUPATION,ACTIVITY_CD,ACTIVITY,INJURY_SOURCE_CD,INJURY_SOURCE,NATURE_INJURY_CD,NATURE_INJURY,INJ_BODY_PART_CD,INJ_BODY_PART,SCHEDULE_CHARGE,DAYS_RESTRICT,DAYS_LOST,TRANS_TERM,RETURN_TO_WORK_DT,IMMED_NOTIFY_CD,IMMED_NOTIFY,INVEST_BEGIN_DT,narrative,CLOSED_DOC_NO,COAL_METAL_IND
200135,M13109,Grupo Mexico S A,L17191,"ASARCO LLC, a Delaware Limited Liability Company",,220232490010,30,MILL OPERATION/PREPARATION PLANT,2023-08-31,2023,3,2023,4,30.0,5,DAYS RESTRICTED ACTIVITY ONLY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,1830.0,09,HANDLING OF MATERIALS,21,"Caught in, under or between a moving and a stationary object",1.0,0.75,0.75,0.75,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",039,Machine maintenance,088,"METAL,NEC(PIPE,WIRE,NAIL)",180,"CUT,LACER,PUNCT-OPN WOUND",340,FINGER(S)/THUMB,0.0,7.0,0.0,N,09/11/2023,? ,NO VALUE FOUND,,An Asarco employee stated that when EE and the crew were working on installing a tramp cylinder on the #2 standard crusher. While lifting the cylinder into position the cylinder swung pinching EE's finger between the cylinder and the mainframe of the crusher. This caused a cut to the finger. (PPE and leather gloves were worn at the time of the incident).,320232560002,M
203131,0067299,Freeport-McMoRan Inc,0073264,Freeport-McMoRan Safford Inc,,220242150025,30,MILL OPERATION/PREPARATION PLANT,2024-07-03,2024,3,2024,4,1100.0,5,DAYS RESTRICTED ACTIVITY ONLY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,08,"Bulldozer, Dozer, Crawler tractor, Push cat",018,Caterpillar,824K,500.0,18,SLIP OR FALL OF PERSON,30,Over-exertion NEC,1.0,9.54,6.62,6.62,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",023,Getting on or off equipment,117,GROUND,330,"SPRAIN,STRAIN RUPT DISC",512,KNEE/PATELLA,0.0,32.0,0.0,N,10/31/2024,? ,NO VALUE FOUND,,"Mechanic stepped down from the rubber tire dozer to ground and felt pain in right knee. Seen by occ med physician and released for full work. Two weeks later 7/17 an MRI was conducted for which a follow up occ med appt occurred 7/22, where the employee was ordered physical therapy. At no point to date has the employee missed a work shift or been restricted from full duty.",,M
203243,0084073,UNACEM Corp S A A,0099687,Drake Cement LLC,,220250220035,30,MILL OPERATION/PREPARATION PLANT,2025-01-20,2025,1,2025,2,1205.0,3,DAYS AWAY FROM WORK ONLY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,28,Hand tools (not powered),121,Not Reported,,600.0,10,HANDTOOLS (NONPOWERED),36,"Inhalation of radiations, caustics, toxic and noxious substances",1.0,0.69,0.69,0.13,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",030,Hand tools (not powered),021,"ACIDS,ALKALI,WET CEMENT",280,"POISONING,SYSTEMIC",600,BODY SYSTEMS,0.0,0.0,1.0,N,01/22/2025,? ,NO VALUE FOUND,,Employee was clearing the opening of a vertical discharge pipe for the Cement Kiln Dust (CKD). The discharge of previous ckd had prevented the flow of discharge and had created a back-up. Employee used a rake to remove blockage at which point the material quickly flowed from pipe causing ckd to go airborne dusting the employee. The employee inhaled the material.,,M
300464,M08976,United States Lime & Minerals Inc,L11945,Arkansas Lime Company,B4411,220241230014,30,MILL OPERATION/PREPARATION PLANT,2024-04-29,2024,2,2024,3,1045.0,3,DAYS AWAY FROM WORK ONLY,5,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600.0,01,ELECTRICAL,39,Flash burns (electric),1.0,0.85,0.85,24.0,302,"Electrician, Lineman",020,Electrical maintenance,043,"ELECTRICAL APPARATUS,NEC",301,ELECT.ARC BURN-NOT CONTAC,700,MULTIPLE PARTS (MORE THAN ONE MAJOR),0.0,0.0,7.0,N,05/09/2024,? ,NO VALUE FOUND,,While testing grounding systems an arc flash occurred at the disconnect causing a burn to the employees left hand and flash burn to the eyes.,320241350008,M
400011,M07897,Taiheiyo Cement Corp,L11900,CalPortland,,220220380011,30,MILL OPERATION/PREPARATION PLANT,2022-01-29,2022,1,2022,2,1050.0,4,DYS AWY FRM WRK & RESTRCTD ACT,6,?,NO VALUE FOUND,?,NO VALUE FOUND,51,"Raw coal storage, Tipple, Dump bins",119,Not on this list,Fin Coal bin,900.0,14,IGNITION OR EXPLOSION OF GAS OR DUST,33,Contact with hot objects or substances,2.0,4.0,4.0,4.0,495,Safety director,036,Inspect equipment or mine,032,METHANE GAS-IN MNE & PROC,120,BURN OR SCALD (HEAT),700,MULTIPLE PARTS (MORE THAN ONE MAJOR),0.0,10.0,34.0,N,04/17/2022,05,GAS OF DUST IGNITION,01/29/2022,Investigating how to open the coal bin to clean it out. The explosion door was open then closed. Hot gases came out and burned the employee. ,320221120004,M
400036,M07897,Taiheiyo Cement Corp,L11900,Calportland,,220221460018,30,MILL OPERATION/PREPARATION PLANT,2022-05-19,2022,2,2022,3,600.0,4,DYS AWY FRM WRK & RESTRCTD ACT,6,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,400.0,09,HANDLING OF MATERIALS,27,Over-exertion in lifting objects,1.0,8.0,8.0,8.0,305,Mechanic helper,028,Handling supplies or material,088,"METAL,NEC(PIPE,WIRE,NAIL)",330,"SPRAIN,STRAIN RUPT DISC",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),0.0,35.0,34.0,N,08/23/2022,? ,NO VALUE FOUND,,EE was loading front loader cutting edges into loader bucket. EE turned to place edge in bucket and felt pain in back and leg.,320222370003,M
400213,M02802,Vicat S A,L10040,National Cement Company Of California Inc,B4231,220250510004,30,MILL OPERATION/PREPARATION PLANT,2025-02-05,2025,1,2025,2,1400.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",6,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700.0,18,SLIP OR FALL OF PERSON,14,Fall from ladders,1.0,0.46,0.08,0.46,316,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",013,"Climb scaffolds, Ladders",010,"FLOOR,WALKING SURF-NOT UG",220,"FRACTURE,CHIP",513,LOWER LEG/TIBIA/FIBULA,0.0,0.0,0.0,Y,02/05/2025,? ,NO VALUE FOUND,,"On final day of EE's job, employee was descending a 15' fixed ladder with a cage when EE's foot slipped and EE fell approximately 10'. Employee broke EE's left fibula.",,M
503222,M00359,Pete Lien & Sons Inc,L00438,"Pete Lien and Sons, Inc.",,220242060031,30,MILL OPERATION/PREPARATION PLANT,2024-07-15,2024,3,2024,4,1000.0,5,DAYS RESTRICTED ACTIVITY ONLY,8,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700.0,21,OTHER,05,Struck by flying object,1.0,0.12,0.12,0.12,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",093,Welding or cutting,088,"METAL,NEC(PIPE,WIRE,NAIL)",320,DUST IN EYES,130,EYE(S) OPTIC NERVE/VISON,0.0,3.0,0.0,N,07/22/2024,? ,NO VALUE FOUND,,Employee was welding on a pipe and the wind blew metal shavings beneath employee's mask and safety glasses into left eye.,,M
801277,M02046,Summit Materials LLC,0119988,Argos USA LLC,,220231730019,30,MILL OPERATION/PREPARATION PLANT,2023-06-16,2023,2,2023,3,2230.0,5,DAYS RESTRICTED ACTIVITY ONLY,12,?,NO VALUE FOUND,?,NO VALUE FOUND,15,"Crusher, Breaker, Mills (ball and rod), Feeder breaker",119,Not on this list,Dorol,1900.0,09,HANDLING OF MATERIALS,08,Struck by... NEC,1.0,0.15,0.15,0.15,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",036,Inspect equipment or mine,089,"BROKEN ROCK,COAL,ORE,WSTE",220,"FRACTURE,CHIP",340,FINGER(S)/THUMB,0.0,2.0,0.0,N,06/20/2023,? ,NO VALUE FOUND,,"Process Attendant was checking the rejects magnet, the PA observed a piece of metal stuck to the magnet.  When the PA had the piece of steel outside the plane of the door, PA attempted to remove the steel from the doorway when a rock came in contact with the piece of steel debris and PA's right thumb.",,M
801318,M06183,CRH PLC,0165373,"Suwannee American Cement Company, LLC",,220223470004,30,MILL OPERATION/PREPARATION PLANT,2022-12-05,2022,4,2023,1,1430.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",12,?,NO VALUE FOUND,?,NO VALUE FOUND,53,"Rock drill, Jackleg, Airleg, Drifter, Stoper, Buzzy, Jackhammer",121,Not Reported,,700.0,17,MACHINERY,05,Struck by flying object,1.0,6.0,0.63,0.63,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",031,Hand tools (powered),088,"METAL,NEC(PIPE,WIRE,NAIL)",320,DUST IN EYES,130,EYE(S) OPTIC NERVE/VISON,0.0,0.0,0.0,N,12/06/2022,? ,NO VALUE FOUND,,"On 12/05, employee was jackhammering material in the baghouse; debris got under their safety glasses and in their eye.  Employee reported on 12/06, and upon visiting the eye doctor, a piece of metal was removed and antibiotics were given.  Employee returned to work the same day. ",,M
900337,0116545,J Eric  Tillirson,L00455,Thiele Kaolin Company,,220250290058,30,MILL OPERATION/PREPARATION PLANT,2025-01-29,2025,1,2025,2,1000.0,3,DAYS AWAY FROM WORK ONLY,13,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700.0,09,HANDLING OF MATERIALS,28,Over-exertion in pulling or pushing objects,1.0,0.38,0.38,0.38,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",028,Handling supplies or material,004,BAGS,330,"SPRAIN,STRAIN RUPT DISC",200,NECK,0.0,0.0,3.0,N,02/04/2025,? ,NO VALUE FOUND,,A forklift operator had loaded a supersack bag (1 ton) on a pallet. A coworker later noticed the bag was leaning and attempted to straighten it up by pushing on the bag and felt a sharp pain on the left side of EE's neck and had to seek medical attention. The employee was treated at the ER and taken out of work.,320250410016,M
900486,0116545,J Eric  Tillirson,L00455,Thiele Kaolin Company,,220241830116,30,MILL OPERATION/PREPARATION PLANT,2024-06-06,2024,2,2024,3,1110.0,3,DAYS AWAY FROM WORK ONLY,13,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700.0,09,HANDLING OF MATERIALS,04,Struck by falling object,1.0,5.46,0.06,5.46,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",028,Handling supplies or material,095,"MINERAL ITEMS,NEC",140,"CONCUSSION-BRAIN,CEREBRAL",110,BRAIN,0.0,0.0,74.0,N,09/23/2024,? ,NO VALUE FOUND,,EE was cleaning out from under the #4 Feeder and a lump of clay fell from top of feeder and struck the employee in the back of the head.  The employee fell forward and hit the front of head.,320242710006,M
900959,0175620,Golden Gate Capital,0083424,Active Minerals International LLC,,220231100034,30,MILL OPERATION/PREPARATION PLANT,2023-04-13,2023,2,2023,3,1015.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",13,?,NO VALUE FOUND,?,NO VALUE FOUND,28,Hand tools (not powered),121,Not Reported,,800.0,10,HANDTOOLS (NONPOWERED),21,"Caught in, under or between a moving and a stationary object",1.0,11.83,11.83,8.33,382,"Front-end loader, Scraper-loader operator, Pan operator, Payloader, Scraper rig operator",030,Hand tools (not powered),046,"AXE,HAMMER,SLEDGE",220,"FRACTURE,CHIP",340,FINGER(S)/THUMB,0.0,0.0,0.0,N,04/13/2023,? ,NO VALUE FOUND,,EE was using a hammer to hit the outside of the hopper to get clay to feed.  EE got finger caught between the hammer handle and the hopper causing a non-displaced fracture of the right index finger phalanx.,,M
1101013,M11007,USS Holdings Inc,L14417,U. S. Silica Company,,220232150019,30,MILL OPERATION/PREPARATION PLANT,2023-07-25,2023,3,2023,4,945.0,3,DAYS AWAY FROM WORK ONLY,17,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600.0,09,HANDLING OF MATERIALS,28,Over-exertion in pulling or pushing objects,1.0,11.19,11.19,11.19,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",028,Handling supplies or material,114,PALLETS,330,"SPRAIN,STRAIN RUPT DISC",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),0.0,0.0,40.0,N,11/13/2023,? ,NO VALUE FOUND,,"Employee was setting up bulk bag area to start filling sacks of sand. The employee placed a pallet on the load stations. When EE bent over to start centering pallet to the spout, EE felt pain in lower right side of back.",320233180004,M
1101578,0159743,Covia Holdings LLC,L07440,Wedron Silica LLC,,220220730009,30,MILL OPERATION/PREPARATION PLANT,2022-03-06,2022,1,2022,2,800.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",17,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700.0,21,OTHER,05,Struck by flying object,1.0,11.87,11.87,1.63,390,"Silo operator, Bin puller, Truck loader",092,"Walking, Running",092,PULVERIZED MINERAL (DUST),310,"SCRATCH,ABRASION,SUPERFCL",130,EYE(S) OPTIC NERVE/VISON,0.0,0.0,0.0,N,03/06/2022,? ,NO VALUE FOUND,,Employee was outside on a very windy day and got debris in right eye which they could not get rinsed out with saline. This caused a scratch across the top of pupil. ,,M
1103143,0165661,"CBR Investments, LLC; CBR Investments II, LLC",P23970,"Knight Hawk Coal, LLC",,220221090011,30,MILL OPERATION/PREPARATION PLANT,2022-04-19,2022,2,2022,3,720.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",17,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,430.0,09,HANDLING OF MATERIALS,21,"Caught in, under or between a moving and a stationary object",1.0,20.0,17.0,17.0,382,"Front-end loader, Scraper-loader operator, Pan operator, Payloader, Scraper rig operator",039,Machine maintenance,088,"METAL,NEC(PIPE,WIRE,NAIL)",180,"CUT,LACER,PUNCT-OPN WOUND",340,FINGER(S)/THUMB,0.0,0.0,0.0,N,04/19/2022,? ,NO VALUE FOUND,,"I.E. was helping an OTR truck driver repair their auto tarp system.  While trying to put a bolt in, the shaft grabbed the I.E.'s glove and pinched the end of their left index finger.  This caused a laceration on the end of the finger that required four stitches. I.E. has not missed work.",,C
1200063,M00004,Heidelberg Materials AG,L17551,Heidelberg Materials US Cement LLC,,220231980006,30,MILL OPERATION/PREPARATION PLANT,2023-07-10,2023,3,2023,4,130.0,5,DAYS RESTRICTED ACTIVITY ONLY,18,?,NO VALUE FOUND,?,NO VALUE FOUND,53,"Rock drill, Jackleg, Airleg, Drifter, Stoper, Buzzy, Jackhammer",121,Not Reported,,2300.0,17,MACHINERY,01,Struck against stationary object,1.0,3.6,3.6,0.75,675,"Plumber, Pipefitter, Millwright",031,Hand tools (powered),088,"METAL,NEC(PIPE,WIRE,NAIL)",220,"FRACTURE,CHIP",340,FINGER(S)/THUMB,0.0,36.0,0.0,N,08/15/2023,? ,NO VALUE FOUND,,Employee was attempting to dislodge a stuck jackhammer from material. As the employee attempted to free the jackhammer it broke free causing the employees hand to make contact with the structure. This Caused a fracture to the left pinky finger.,320232430003,M
1200063,M00004,Heidelberg Materials AG,L17551,Heidelberg Materials US Cement LLC,,220240180006,30,MILL OPERATION/PREPARATION PLANT,2024-01-15,2024,1,2024,2,900.0,5,DAYS RESTRICTED ACTIVITY ONLY,18,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700.0,09,HANDLING OF MATERIALS,25,Rubbed or abraded,1.0,0.13,0.13,0.13,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",023,Getting on or off equipment,088,"METAL,NEC(PIPE,WIRE,NAIL)",180,"CUT,LACER,PUNCT-OPN WOUND",350,"UPPER EXTREMITIES, MULTIPLE",0.0,12.0,0.0,N,02/01/2024,? ,NO VALUE FOUND,,"Employee was adding salt to the sand spreader on the F250, as the employee finished loading the salt, the employee used a nearby post to help lower themself to the ground. As the employee did, they caught their arm on a sharp piece of metal that was attached to the post. Employee received a laceration that required stitches and restrictions.",320250130022,M
